Street#,Dir,Street,Type_,Post Dir,Loc,Zip,Council,Neighborhood,Referred,Down & Clear
943,S,7th,St,,Entire,,,,,8/27/2002
2109,W,Muhammad Ali,Blvd,,Entire,,,,,12/31/2003
722,S,15th,St,,Entire,,,,,1/7/2004
742,S,15th,St,,Entire,,,,,1/7/2004
732,S,16th,St,,Entire,,,,,1/27/2004
5315,,Red Oak,Ln,,Entire,,,,,2/3/2004
1305,s,16th,St,,Entire,,,,,2/20/2004
340,E,Ormsby,Ave,,Entire,,,,,2/24/2004
1311,S,16th,St,,Entire,,,,,2/27/2004
119,N,17th,St,,Entire,,,,,3/3/2004
534,N,17th,St,,Entire,,,,,3/11/2004
538,N ,17th,St,,Entire,,,,,3/19/2004
405,S,18th,St,,Entire,,,,,3/29/2004
516,N ,18th,St,,Entire,,,,,4/16/2004
5300,,Preston,Hwy,,Entire,,,,,4/16/2004
520,S,18th,St,,Entire,,,,,4/19/2004
535,S,18th,St,,Entire,,,,,5/3/2004
114,N ,19th,St,,Entire,,,,,5/6/2004
119,N,19th,St,,Entire,,,,,5/7/2004
1246,S,1st,St,,Entire,,,,,5/11/2004
2103,W,Market,St,,Entire,,,,,5/13/2004
4507,,River Front,Dr,,Entire,,,,,5/17/2004
130,N,20th,St,,Entire,,,,,5/19/2004
311,S,20th,St,,Entire,,,,,5/19/2004
531,N ,20th,St,,Entire,,,,,5/21/2004
4606,E,Overbrook,Dr,,Entire,,,,,5/21/2004
535,N,20th,St,,Entire,,,,,5/24/2004
619,S,20th,St,,Entire,,,,,5/28/2004
4148,W,Market,St,,Entire,,,,,6/7/2004
410,N,20th ,St,,Rear,,,,,6/11/2004
610,S,20th ,St,,Entire,,,,,6/22/2004
310,N ,21st,St,,Entire,,,,,6/22/2004
3901,W,Muhammad Ali,Bvd,,Entire,,,,,6/22/2004
312,N,21st,St,,Entire,,,,,6/23/2004
315,N,21st,St,,Entire,,,,,7/7/2004
329,N,21st,St,,Entire,,,,,7/8/2004
223,N,21st ,St,,Entire,,,,,7/21/2004
326,N,22nd,St,,Entire,,,,,7/27/2004
522,N,22nd,St,,Entire,,,,,7/28/2004
528,N,22nd,St,,Entire,,,,,7/28/2004
2606,W,Muhammad Ali,Blvd,,Entire,,,,,7/28/2004
1332,S,22nd,St,,Entire,,,,,8/2/2004
